"translation","source"
"Item sem nome para uso genérico.{#Name=""Sem nome""}","名前のないアイテムに汎用的に使用する{#Name=""名前無し""}"
"Restaura uma pequena quantidade de vida.{#Name=""Poção de Recuperação (P)""}","Restores a small amount of health.{#Name=""Recovery Potion (S)""}"
"Restaura uma quantidade moderada de vida.{#Name=""Poção de Recuperação (M)""}","Restores a moderate amount of{LF}health.{#Name=""Recovery Potion (M)""}"
"Restaura uma grande quantidade de vida.{#Name=""Poção de Recuperação (G)""}","Restores a large amount of health.{#Name=""Recovery Potion (L)""}"
"Restaura 350 pontos de vida.{#Name=""Garrafa de Recuperação (P)""}","体力を350回復する{#Name=""生命の小瓶""}"
"Restaura completamente sua vida.{#Name=""Poção de Recuperação (Máx)""}","Restores your health completely.{#Name=""Recovery Potion (Max)""}"
"Aumenta o medidor de tensão em 25%.{#Name=""Fragmento Misterioso""}","テンションゲージを25%上昇させる{#Name=""神秘の欠片""}"
"Aumenta o medidor de tensão para o máximo.{#Name=""Cristal Misterioso""}","テンションゲージをMAXにする{#Name=""神秘の結晶""}"
"Restaura completamente sua vida e medidor de tensão.{#Name=""Elixir de Longevidade""}","体力とテンションゲージをMAXにする{#Name=""霊長薬""}"
"Permite reviver uma vez no local se estiver morto.{#Name=""Lâmina de Ressurreição""}","所持していると、その場で一度だけ復活できる{#Name=""再生の刃""}"
"Aumenta o poder de ataque por um tempo limitado.{#Name=""Poção de Força""}","Boosts attack power for a limited{LF}amount of time.{#Name=""Strength Potion""}"
"Aumenta a taxa de aumento do medidor de tensão em 1.3 vezes por 60 segundos{#Name=""Colônia de Exaltação""}","60秒間、テンションゲージの上昇率が1.3倍になる{#Name=""高揚のコロン""}"
"Reduz o dano recebido por um tempo limitado.{#Name=""Poção de Defesa""}","Reduces damage taken for a limited{LF}amount of time.{#Name=""Defense Potion""}"
"Reduz a taxa de redução de estamina em 70% por 60 segundos.{#Name=""Colônia de Vitalidade""}","60秒間、スタミナの減少率が70%になる{#Name=""精力のコロン""}"
"Restaura a habilidade de Dito.{#Name=""Pílula da Tortura""}","ディトのアビリティを回復する。{#Name=""加虐の丸薬""}"
"Restaura a habilidade de Decart.{#Name=""Pílula do Masoquismo""}","デカートのアビリティを回復する。{#Name=""被虐の丸薬""}"
"Restaura a habilidade de Octa.{#Name=""Pílula da Supremacia""}","オクタのアビリティを回復する。{#Name=""絶倫の丸薬""}"
"Restaura a habilidade de Cent.{#Name=""Pílula da Ignorância""}","セントのアビリティを回復する。{#Name=""衆愚の丸薬""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
" {#Name=""Reserva""}"," {#Name=""予備""}"
"Restaura 25% da vida.{#Name=""Esfera de Cura (P)""}","体力を25%回復する{#Name=""Healsphere (S)""}"
"Restaura 50% da vida.{#Name=""Esfera de Cura (M)""}","体力を50%回復する{#Name=""Healsphere (M)""}"
"Restaura 100% da vida.{#Name=""Esfera de Cura (G)""}","体力を100%回復する{#Name=""Healsphere (L)""}"
"Restaura 25% do medidor de tensão.{#Name=""Esfera de Sangue (P)""}","テンションゲージを25%回復する{#Name=""Bloodsphere (S)""}"
